r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19,r_20,r_21,r_22,r_23,r_24,r_25,Q
0.137,0.01,0.079,0.015,0.095,0.188,0.103,0.136,0.197,0.04,0.078,0.133,0.034,0.061,0.078,0.087,0.115,0.109,0.06,0.127,0.118,0.0,0.0,0.0,0.0,211.22987620537944
0.122,0.018,0.08,0.138,0.017,0.12,0.147,0.136,0.128,0.094,0.115,0.094,0.084,0.029,0.094,0.038,0.107,0.104,0.014,0.195,0.126,0.0,0.0,0.0,0.0,217.77406437607692
0.108,0.101,0.22,0.095,0.08,0.046,0.042,0.208,0.067,0.033,0.065,0.079,0.092,0.134,0.066,0.145,0.09,0.043,0.031,0.06,0.149,0.046,0.0,0.0,0.0,216.43121611154143
0.128,0.134,0.17,0.113,0.066,0.019,0.105,0.108,0.018,0.139,0.124,0.056,0.017,0.091,0.126,0.126,0.069,0.083,0.035,0.044,0.078,0.121,0.03,0.0,0.0,202.50689113432531
0.146,0.012,0.097,0.188,0.124,0.017,0.168,0.031,0.151,0.066,0.13,0.08,0.057,0.116,0.126,0.136,0.084,0.038,0.125,0.086,0.022,0.0,0.0,0.0,0.0,204.1086147829612
0.073,0.139,0.131,0.198,0.006,0.023,0.072,0.088,0.129,0.141,0.172,0.024,0.103,0.091,0.139,0.094,0.135,0.099,0.025,0.01,0.108,0.0,0.0,0.0,0.0,246.2698387531512
0.028,0.171,0.106,0.202,0.03,0.005,0.144,0.166,0.118,0.03,0.098,0.098,0.02,0.078,0.132,0.029,0.05,0.13,0.041,0.063,0.127,0.094,0.04,0.0,0.0,318.72048285389184
0.129,0.062,0.045,0.184,0.08,0.088,0.152,0.11,0.028,0.122,0.054,0.049,0.1,0.036,0.13,0.126,0.072,0.124,0.011,0.105,0.057,0.017,0.119,0.0,0.0,202.5560274104816
0.088,0.011,0.16,0.175,0.016,0.05,0.076,0.196,0.115,0.113,0.188,0.04,0.182,0.018,0.165,0.108,0.008,0.035,0.084,0.015,0.157,0.0,0.0,0.0,0.0,233.64185590131763
0.019,0.154,0.179,0.196,0.02,0.098,0.006,0.16,0.107,0.061,0.135,0.017,0.1,0.112,0.114,0.118,0.119,0.1,0.031,0.139,0.015,0.0,0.0,0.0,0.0,371.9516766235323
